,date,vix,vixo,vixh,vixl
1135,1990-03-30,19.73,19.73,19.73,19.73
1137,1990-04-02,22.84,22.84,22.84,22.84
1139,1990-04-03,20.44,20.44,20.44,20.44
1141,1990-04-04,22.03,22.03,22.03,22.03
1143,1990-04-05,21.21,21.21,21.21,21.21
1145,1990-04-06,21.76,21.76,21.76,21.76
1147,1990-04-09,22.3,22.3,22.3,22.3
1149,1990-04-10,21.69,21.69,21.69,21.69
1151,1990-04-11,17.73,17.73,17.73,17.73
1153,1990-04-12,19.8,19.8,19.8,19.8
1155,1990-04-16,20.75,20.75,20.75,20.75
1157,1990-04-17,20.38,20.38,20.38,20.38
1159,1990-04-18,22.67,22.67,22.67,22.67
1161,1990-04-19,22.46,22.46,22.46,22.46
1163,1990-04-20,23.33,23.33,23.33,23.33
1165,1990-04-23,24.16,24.16,24.16,24.16
1167,1990-04-24,21.7,21.7,21.7,21.7
1169,1990-04-25,20.86,20.86,20.86,20.86
1171,1990-04-26,20.25,20.25,20.25,20.25
1173,1990-04-27,22.19,22.19,22.19,22.19
1175,1990-04-30,19.52,19.52,19.52,19.52
1177,1990-05-01,18.43,18.43,18.43,18.43
1179,1990-05-02,19.32,19.32,19.32,19.32
1181,1990-05-03,17.81,17.81,17.81,17.81
1183,1990-05-04,17.28,17.28,17.28,17.28
1185,1990-05-07,17.65,17.65,17.65,17.65
1187,1990-05-08,18.49,18.49,18.49,18.49
1189,1990-05-09,18.64,18.64,18.64,18.64
1191,1990-05-10,18.59,18.59,18.59,18.59
1193,1990-05-11,19.81,19.81,19.81,19.81
1195,1990-05-14,20.14,20.14,20.14,20.14
1197,1990-05-15,19.49,19.49,19.49,19.49
1199,1990-05-16,17.71,17.71,17.71,17.71
1201,1990-05-17,17.27,17.27,17.27,17.27
1203,1990-05-18,17.2,17.2,17.2,17.2
1205,1990-05-21,16.72,16.72,16.72,16.72
1207,1990-05-22,17.84,17.84,17.84,17.84
1209,1990-05-23,17.18,17.18,17.18,17.18
1211,1990-05-24,17.7,17.7,17.7,17.7
1213,1990-05-25,17.32,17.32,17.32,17.32
1215,1990-05-29,18.75,18.75,18.75,18.75
1217,1990-05-30,17.44,17.44,17.44,17.44
1219,1990-05-31,17.37,17.37,17.37,17.37
1221,1990-06-01,17.09,17.09,17.09,17.09
1223,1990-06-04,18.39,18.39,18.39,18.39
1225,1990-06-05,18.97,18.97,18.97,18.97
1227,1990-06-06,17.42,17.42,17.42,17.42
1229,1990-06-07,16.88,16.88,16.88,16.88
1231,1990-06-08,17.58,17.58,17.58,17.58
1233,1990-06-11,16.34,16.34,16.34,16.34
1235,1990-06-12,16.6,16.6,16.6,16.6
1237,1990-06-13,17.38,17.38,17.38,17.38
1239,1990-06-14,17.4,17.4,17.4,17.4
1241,1990-06-15,15.9,15.9,15.9,15.9
1243,1990-06-18,17.71,17.71,17.71,17.71
1245,1990-06-19,15.23,15.23,15.23,15.23
1247,1990-06-20,15.27,15.27,15.27,15.27
1249,1990-06-21,14.72,14.72,14.72,14.72
1251,1990-06-22,19.36,19.36,19.36,19.36
1253,1990-06-25,17.06,17.06,17.06,17.06
1255,1990-06-26,16.29,16.29,16.29,16.29
1257,1990-06-27,16.0,16.0,16.0,16.0
1259,1990-06-28,16.18,16.18,16.18,16.18
1261,1990-06-29,15.5,15.5,15.5,15.5
1263,1990-07-02,16.26,16.26,16.26,16.26
1265,1990-07-03,16.11,16.11,16.11,16.11
1267,1990-07-05,17.25,17.25,17.25,17.25
1269,1990-07-06,16.41,16.41,16.41,16.41
1271,1990-07-09,16.66,16.66,16.66,16.66
1273,1990-07-10,16.92,16.92,16.92,16.92
1275,1990-07-11,16.68,16.68,16.68,16.68
1277,1990-07-12,17.06,17.06,17.06,17.06
1279,1990-07-13,17.09,17.09,17.09,17.09
1281,1990-07-16,16.75,16.75,16.75,16.75
1283,1990-07-17,16.66,16.66,16.66,16.66
1285,1990-07-18,18.9,18.9,18.9,18.9
1287,1990-07-19,18.56,18.56,18.56,18.56
1289,1990-07-20,15.63,15.63,15.63,15.63
1291,1990-07-23,23.68,23.68,23.68,23.68
1293,1990-07-24,21.79,21.79,21.79,21.79
1295,1990-07-25,20.19,20.19,20.19,20.19
1297,1990-07-26,20.26,20.26,20.26,20.26
1299,1990-07-27,21.12,21.12,21.12,21.12
1301,1990-07-30,21.16,21.16,21.16,21.16
1303,1990-07-31,21.11,21.11,21.11,21.11
1305,1990-08-01,21.64,21.64,21.64,21.64
1307,1990-08-02,20.43,20.43,20.43,20.43
1309,1990-08-03,28.74,28.74,28.74,28.74
1311,1990-08-06,35.91,35.91,35.91,35.91
1313,1990-08-07,32.75,32.75,32.75,32.75
1315,1990-08-08,28.27,28.27,28.27,28.27
1317,1990-08-09,24.39,24.39,24.39,24.39
1319,1990-08-10,25.75,25.75,25.75,25.75
1321,1990-08-13,25.74,25.74,25.74,25.74
1323,1990-08-14,24.18,24.18,24.18,24.18
1325,1990-08-15,23.31,23.31,23.31,23.31
1327,1990-08-16,27.16,27.16,27.16,27.16
1329,1990-08-17,27.53,27.53,27.53,27.53
1331,1990-08-20,26.46,26.46,26.46,26.46
1333,1990-08-21,28.9,28.9,28.9,28.9
1335,1990-08-22,30.55,30.55,30.55,30.55
1337,1990-08-23,36.47,36.47,36.47,36.47
1339,1990-08-24,33.93,33.93,33.93,33.93
1341,1990-08-27,29.63,29.63,29.63,29.63
1343,1990-08-28,29.12,29.12,29.12,29.12
1345,1990-08-29,27.38,27.38,27.38,27.38
1347,1990-08-30,29.89,29.89,29.89,29.89
1349,1990-08-31,29.9,29.9,29.9,29.9
1351,1990-09-04,29.58,29.58,29.58,29.58
1353,1990-09-05,28.52,28.52,28.52,28.52
1355,1990-09-06,30.19,30.19,30.19,30.19
1357,1990-09-07,28.73,28.73,28.73,28.73
1359,1990-09-10,29.34,29.34,29.34,29.34
1361,1990-09-11,28.38,28.38,28.38,28.38
1363,1990-09-12,28.12,28.12,28.12,28.12
1365,1990-09-13,29.33,29.33,29.33,29.33
1367,1990-09-14,30.56,30.56,30.56,30.56
1369,1990-09-17,29.55,29.55,29.55,29.55
1371,1990-09-18,28.82,28.82,28.82,28.82
1373,1990-09-19,27.88,27.88,27.88,27.88
1375,1990-09-20,28.66,28.66,28.66,28.66
1377,1990-09-21,30.04,30.04,30.04,30.04
1379,1990-09-24,30.56,30.56,30.56,30.56
1381,1990-09-25,28.81,28.81,28.81,28.81
1383,1990-09-26,28.19,28.19,28.19,28.19
1385,1990-09-27,28.67,28.67,28.67,28.67
1387,1990-09-28,29.11,29.11,29.11,29.11
1389,1990-10-01,28.06,28.06,28.06,28.06
1391,1990-10-02,27.28,27.28,27.28,27.28
1393,1990-10-03,27.9,27.9,27.9,27.9
1395,1990-10-04,27.51,27.51,27.51,27.51
1397,1990-10-05,27.85,27.85,27.85,27.85
1399,1990-10-08,28.04,28.04,28.04,28.04
1401,1990-10-09,30.71,30.71,30.71,30.71
1403,1990-10-10,31.19,31.19,31.19,31.19
1405,1990-10-11,33.98,33.98,33.98,33.98
1407,1990-10-12,31.94,31.94,31.94,31.94
1409,1990-10-15,31.64,31.64,31.64,31.64
1411,1990-10-16,31.45,31.45,31.45,31.45
1413,1990-10-17,31.37,31.37,31.37,31.37
1415,1990-10-18,29.6,29.6,29.6,29.6
1417,1990-10-19,27.86,27.86,27.86,27.86
1419,1990-10-22,27.27,27.27,27.27,27.27
1421,1990-10-23,27.57,27.57,27.57,27.57
1423,1990-10-24,28.28,28.28,28.28,28.28
1425,1990-10-25,29.04,29.04,29.04,29.04
1427,1990-10-26,30.75,30.75,30.75,30.75
1429,1990-10-29,31.54,31.54,31.54,31.54
1431,1990-10-30,30.52,30.52,30.52,30.52
1433,1990-10-31,30.04,30.04,30.04,30.04
1435,1990-11-01,30.25,30.25,30.25,30.25
1437,1990-11-02,30.03,30.03,30.03,30.03
1439,1990-11-05,29.85,29.85,29.85,29.85
1441,1990-11-06,29.11,29.11,29.11,29.11
1443,1990-11-07,30.87,30.87,30.87,30.87
1445,1990-11-08,30.79,30.79,30.79,30.79
1447,1990-11-09,26.96,26.96,26.96,26.96
1449,1990-11-12,25.6,25.6,25.6,25.6
1451,1990-11-13,24.58,24.58,24.58,24.58
1453,1990-11-14,22.89,22.89,22.89,22.89
1455,1990-11-15,22.57,22.57,22.57,22.57
1457,1990-11-16,21.34,21.34,21.34,21.34
1459,1990-11-19,20.95,20.95,20.95,20.95
1461,1990-11-20,20.09,20.09,20.09,20.09
1463,1990-11-21,21.09,21.09,21.09,21.09
1465,1990-11-23,20.98,20.98,20.98,20.98
1467,1990-11-26,22.76,22.76,22.76,22.76
1469,1990-11-27,22.86,22.86,22.86,22.86
1471,1990-11-28,22.96,22.96,22.96,22.96
1473,1990-11-29,23.91,23.91,23.91,23.91
1475,1990-11-30,22.16,22.16,22.16,22.16
1477,1990-12-03,22.29,22.29,22.29,22.29
1479,1990-12-04,22.03,22.03,22.03,22.03
1481,1990-12-05,20.94,20.94,20.94,20.94
1483,1990-12-06,22.62,22.62,22.62,22.62
1485,1990-12-07,22.59,22.59,22.59,22.59
1487,1990-12-10,23.58,23.58,23.58,23.58
1489,1990-12-11,23.75,23.75,23.75,23.75
1491,1990-12-12,21.28,21.28,21.28,21.28
1493,1990-12-13,23.05,23.05,23.05,23.05
1495,1990-12-14,23.85,23.85,23.85,23.85
1497,1990-12-17,24.85,24.85,24.85,24.85
1499,1990-12-18,23.11,23.11,23.11,23.11
1501,1990-12-19,23.08,23.08,23.08,23.08
1503,1990-12-20,23.13,23.13,23.13,23.13
1505,1990-12-21,22.66,22.66,22.66,22.66
1507,1990-12-24,24.03,24.03,24.03,24.03
1509,1990-12-26,24.18,24.18,24.18,24.18
1511,1990-12-27,24.81,24.81,24.81,24.81
1513,1990-12-28,25.05,25.05,25.05,25.05
1515,1990-12-31,26.38,26.38,26.38,26.38
1517,1991-01-02,26.62,26.62,26.62,26.62
1519,1991-01-03,27.93,27.93,27.93,27.93
1521,1991-01-04,27.19,27.19,27.19,27.19
1523,1991-01-07,28.95,28.95,28.95,28.95
1525,1991-01-08,30.38,30.38,30.38,30.38
1527,1991-01-09,33.3,33.3,33.3,33.3
1529,1991-01-10,31.33,31.33,31.33,31.33
1531,1991-01-11,32.63,32.63,32.63,32.63
1533,1991-01-14,36.2,36.2,36.2,36.2
1535,1991-01-15,36.16,36.16,36.16,36.16
1537,1991-01-16,33.2,33.2,33.2,33.2
1539,1991-01-17,27.45,27.45,27.45,27.45
1541,1991-01-18,25.39,25.39,25.39,25.39
1543,1991-01-21,24.33,24.33,24.33,24.33
1545,1991-01-22,24.9,24.9,24.9,24.9
1547,1991-01-23,23.92,23.92,23.92,23.92
1549,1991-01-24,22.86,22.86,22.86,22.86
1551,1991-01-25,22.2,22.2,22.2,22.2
1553,1991-01-28,23.05,23.05,23.05,23.05
1555,1991-01-29,23.17,23.17,23.17,23.17
1557,1991-01-30,21.37,21.37,21.37,21.37
1559,1991-01-31,20.91,20.91,20.91,20.91
1561,1991-02-01,21.04,21.04,21.04,21.04
1563,1991-02-04,21.86,21.86,21.86,21.86
1565,1991-02-05,21.46,21.46,21.46,21.46
1567,1991-02-06,22.68,22.68,22.68,22.68
1569,1991-02-07,23.6,23.6,23.6,23.6
1571,1991-02-08,23.38,23.38,23.38,23.38
1573,1991-02-11,22.56,22.56,22.56,22.56
1575,1991-02-12,22.26,22.26,22.26,22.26
1577,1991-02-13,20.86,20.86,20.86,20.86
1579,1991-02-14,21.48,21.48,21.48,21.48
1581,1991-02-15,19.57,19.57,19.57,19.57
1583,1991-02-19,19.84,19.84,19.84,19.84
1585,1991-02-20,22.26,22.26,22.26,22.26
1587,1991-02-21,20.78,20.78,20.78,20.78
1589,1991-02-22,21.01,21.01,21.01,21.01
1591,1991-02-25,22.86,22.86,22.86,22.86
1593,1991-02-26,20.38,20.38,20.38,20.38
1595,1991-02-27,21.26,21.26,21.26,21.26
1597,1991-02-28,21.23,21.23,21.23,21.23
1599,1991-03-04,20.86,20.86,20.86,20.86
1601,1991-03-05,20.45,20.45,20.45,20.45
1603,1991-03-06,20.55,20.55,20.55,20.55
1605,1991-03-07,21.05,21.05,21.05,21.05
1607,1991-03-08,20.81,20.81,20.81,20.81
1609,1991-03-11,20.88,20.88,20.88,20.88
1611,1991-03-12,18.82,18.82,18.82,18.82
1613,1991-03-13,16.09,16.09,16.09,16.09
1615,1991-03-14,14.94,14.94,14.94,14.94
1617,1991-03-15,14.9,14.9,14.9,14.9
1619,1991-03-18,15.79,15.79,15.79,15.79
1621,1991-03-19,16.11,16.11,16.11,16.11
1623,1991-03-20,16.04,16.04,16.04,16.04
1625,1991-03-21,16.86,16.86,16.86,16.86
1627,1991-03-22,16.49,16.49,16.49,16.49
1629,1991-03-25,16.76,16.76,16.76,16.76
1631,1991-03-26,16.31,16.31,16.31,16.31
1633,1991-03-27,16.55,16.55,16.55,16.55
1635,1991-03-28,16.88,16.88,16.88,16.88
1637,1991-04-01,17.42,17.42,17.42,17.42
1639,1991-04-02,17.4,17.4,17.4,17.4
1641,1991-04-03,17.61,17.61,17.61,17.61
1643,1991-04-04,18.01,18.01,18.01,18.01
1645,1991-04-05,17.63,17.63,17.63,17.63
1647,1991-04-08,17.41,17.41,17.41,17.41
1649,1991-04-09,20.12,20.12,20.12,20.12
1651,1991-04-10,19.73,19.73,19.73,19.73
1653,1991-04-11,17.24,17.24,17.24,17.24
1655,1991-04-12,18.45,18.45,18.45,18.45
1657,1991-04-15,16.5,16.5,16.5,16.5
1659,1991-04-16,15.82,15.82,15.82,15.82
1661,1991-04-17,15.47,15.47,15.47,15.47
1663,1991-04-18,16.26,16.26,16.26,16.26
1665,1991-04-19,15.68,15.68,15.68,15.68
1667,1991-04-22,16.78,16.78,16.78,16.78
1669,1991-04-23,17.02,17.02,17.02,17.02
1671,1991-04-24,16.72,16.72,16.72,16.72
1673,1991-04-25,17.15,17.15,17.15,17.15
1675,1991-04-26,17.27,17.27,17.27,17.27
1677,1991-04-29,18.27,18.27,18.27,18.27
1679,1991-04-30,18.24,18.24,18.24,18.24
1681,1991-05-01,17.77,17.77,17.77,17.77
1683,1991-05-02,17.52,17.52,17.52,17.52
1685,1991-05-03,17.24,17.24,17.24,17.24
1687,1991-05-06,17.92,17.92,17.92,17.92
1689,1991-05-07,17.46,17.46,17.46,17.46
1691,1991-05-08,17.78,17.78,17.78,17.78
1693,1991-05-09,17.17,17.17,17.17,17.17
1695,1991-05-10,17.54,17.54,17.54,17.54
1697,1991-05-13,17.66,17.66,17.66,17.66
1699,1991-05-14,18.0,18.0,18.0,18.0
1701,1991-05-15,18.38,18.38,18.38,18.38
1703,1991-05-16,17.24,17.24,17.24,17.24
1705,1991-05-17,16.64,16.64,16.64,16.64
1707,1991-05-20,17.1,17.1,17.1,17.1
1709,1991-05-21,16.07,16.07,16.07,16.07
1711,1991-05-22,16.16,16.16,16.16,16.16
1713,1991-05-23,16.11,16.11,16.11,16.11
1715,1991-05-24,15.23,15.23,15.23,15.23
1717,1991-05-28,15.67,15.67,15.67,15.67
1719,1991-05-29,15.9,15.9,15.9,15.9
1721,1991-05-30,16.02,16.02,16.02,16.02
1723,1991-05-31,15.93,15.93,15.93,15.93
1725,1991-06-03,16.87,16.87,16.87,16.87
1727,1991-06-04,16.17,16.17,16.17,16.17
1729,1991-06-05,16.4,16.4,16.4,16.4
1731,1991-06-06,16.93,16.93,16.93,16.93
1733,1991-06-07,16.98,16.98,16.98,16.98
1735,1991-06-10,17.47,17.47,17.47,17.47
1737,1991-06-11,17.32,17.32,17.32,17.32
1739,1991-06-12,17.72,17.72,17.72,17.72
1741,1991-06-13,16.99,16.99,16.99,16.99
1743,1991-06-14,15.98,15.98,15.98,15.98
1745,1991-06-17,15.5,15.5,15.5,15.5
1747,1991-06-18,16.14,16.14,16.14,16.14
1749,1991-06-19,17.44,17.44,17.44,17.44
1751,1991-06-20,16.75,16.75,16.75,16.75
1753,1991-06-21,16.51,16.51,16.51,16.51
1755,1991-06-24,18.28,18.28,18.28,18.28
1757,1991-06-25,17.85,17.85,17.85,17.85
1759,1991-06-26,17.98,17.98,17.98,17.98
1761,1991-06-27,17.87,17.87,17.87,17.87
1763,1991-06-28,19.55,19.55,19.55,19.55
1765,1991-07-01,18.64,18.64,18.64,18.64
1767,1991-07-02,17.63,17.63,17.63,17.63
1769,1991-07-03,19.47,19.47,19.47,19.47
1771,1991-07-05,18.35,18.35,18.35,18.35
1773,1991-07-08,20.29,20.29,20.29,20.29
1775,1991-07-09,19.76,19.76,19.76,19.76
1777,1991-07-10,19.19,19.19,19.19,19.19
1779,1991-07-11,17.39,17.39,17.39,17.39
1781,1991-07-12,18.29,18.29,18.29,18.29
1783,1991-07-15,17.78,17.78,17.78,17.78
1785,1991-07-16,17.49,17.49,17.49,17.49
1787,1991-07-17,17.52,17.52,17.52,17.52
1789,1991-07-18,15.77,15.77,15.77,15.77
1791,1991-07-19,15.5,15.5,15.5,15.5
1793,1991-07-22,16.9,16.9,16.9,16.9
1795,1991-07-23,16.58,16.58,16.58,16.58
1797,1991-07-24,16.41,16.41,16.41,16.41
1799,1991-07-25,15.74,15.74,15.74,15.74
1801,1991-07-26,15.45,15.45,15.45,15.45
1803,1991-07-29,15.67,15.67,15.67,15.67
1805,1991-07-30,15.47,15.47,15.47,15.47
1807,1991-07-31,15.18,15.18,15.18,15.18
1809,1991-08-01,15.47,15.47,15.47,15.47
1811,1991-08-02,15.26,15.26,15.26,15.26
1813,1991-08-05,15.92,15.92,15.92,15.92
1815,1991-08-06,15.54,15.54,15.54,15.54
1817,1991-08-07,15.56,15.56,15.56,15.56
1819,1991-08-08,15.98,15.98,15.98,15.98
1821,1991-08-09,15.45,15.45,15.45,15.45
1823,1991-08-12,15.26,15.26,15.26,15.26
1825,1991-08-13,14.73,14.73,14.73,14.73
1827,1991-08-14,15.09,15.09,15.09,15.09
1829,1991-08-15,15.19,15.19,15.19,15.19
1831,1991-08-16,16.01,16.01,16.01,16.01
1833,1991-08-19,21.19,21.19,21.19,21.19
1835,1991-08-20,18.86,18.86,18.86,18.86
1837,1991-08-21,15.62,15.62,15.62,15.62
1839,1991-08-22,14.59,14.59,14.59,14.59
1841,1991-08-23,14.41,14.41,14.41,14.41
1843,1991-08-26,14.81,14.81,14.81,14.81
1845,1991-08-27,15.46,15.46,15.46,15.46
1847,1991-08-28,15.31,15.31,15.31,15.31
1849,1991-08-29,14.82,14.82,14.82,14.82
1851,1991-08-30,14.46,14.46,14.46,14.46
1853,1991-09-03,16.57,16.57,16.57,16.57
1855,1991-09-04,17.18,17.18,17.18,17.18
1857,1991-09-05,17.31,17.31,17.31,17.31
1859,1991-09-06,16.76,16.76,16.76,16.76
1861,1991-09-09,17.73,17.73,17.73,17.73
1863,1991-09-10,18.22,18.22,18.22,18.22
1865,1991-09-11,17.96,17.96,17.96,17.96
1867,1991-09-12,16.21,16.21,16.21,16.21
1869,1991-09-13,17.88,17.88,17.88,17.88
1871,1991-09-16,17.82,17.82,17.82,17.82
1873,1991-09-17,17.68,17.68,17.68,17.68
1875,1991-09-18,17.56,17.56,17.56,17.56
1877,1991-09-19,17.56,17.56,17.56,17.56
1879,1991-09-20,17.08,17.08,17.08,17.08
1881,1991-09-23,16.38,16.38,16.38,16.38
1883,1991-09-24,16.04,16.04,16.04,16.04
1885,1991-09-25,15.68,15.68,15.68,15.68
1887,1991-09-26,15.35,15.35,15.35,15.35
1889,1991-09-27,16.31,16.31,16.31,16.31
1891,1991-09-30,15.85,15.85,15.85,15.85
1893,1991-10-01,14.81,14.81,14.81,14.81
1895,1991-10-02,15.81,15.81,15.81,15.81
1897,1991-10-03,17.04,17.04,17.04,17.04
1899,1991-10-04,15.63,15.63,15.63,15.63
1901,1991-10-07,18.58,18.58,18.58,18.58
1903,1991-10-08,17.81,17.81,17.81,17.81
1905,1991-10-09,18.54,18.54,18.54,18.54
1907,1991-10-10,17.8,17.8,17.8,17.8
1909,1991-10-11,17.6,17.6,17.6,17.6
1911,1991-10-14,16.71,16.71,16.71,16.71
1913,1991-10-15,16.22,16.22,16.22,16.22
1915,1991-10-16,14.85,14.85,14.85,14.85
1917,1991-10-17,16.32,16.32,16.32,16.32
1919,1991-10-18,15.87,15.87,15.87,15.87
1921,1991-10-21,16.66,16.66,16.66,16.66
1923,1991-10-22,16.55,16.55,16.55,16.55
1925,1991-10-23,16.26,16.26,16.26,16.26
1927,1991-10-24,15.62,15.62,15.62,15.62
1929,1991-10-25,15.75,15.75,15.75,15.75
1931,1991-10-28,15.45,15.45,15.45,15.45
1933,1991-10-29,15.55,15.55,15.55,15.55
1935,1991-10-30,15.46,15.46,15.46,15.46
1937,1991-10-31,15.48,15.48,15.48,15.48
1939,1991-11-01,15.6,15.6,15.6,15.6
1941,1991-11-04,16.35,16.35,16.35,16.35
1943,1991-11-05,16.48,16.48,16.48,16.48
1945,1991-11-06,16.47,16.47,16.47,16.47
1947,1991-11-07,15.97,15.97,15.97,15.97
1949,1991-11-08,15.43,15.43,15.43,15.43
1951,1991-11-11,14.89,14.89,14.89,14.89
1953,1991-11-12,14.04,14.04,14.04,14.04
1955,1991-11-13,13.95,13.95,13.95,13.95
1957,1991-11-14,13.96,13.96,13.96,13.96
1959,1991-11-15,21.18,21.18,21.18,21.18
1961,1991-11-18,18.28,18.28,18.28,18.28
1963,1991-11-19,20.34,20.34,20.34,20.34
1965,1991-11-20,20.4,20.4,20.4,20.4
1967,1991-11-21,19.11,19.11,19.11,19.11
1969,1991-11-22,21.2,21.2,21.2,21.2
1971,1991-11-25,21.92,21.92,21.92,21.92
1973,1991-11-26,19.8,19.8,19.8,19.8
1975,1991-11-27,19.84,19.84,19.84,19.84
1977,1991-11-29,20.26,20.26,20.26,20.26
1979,1991-12-02,20.18,20.18,20.18,20.18
1981,1991-12-03,19.7,19.7,19.7,19.7
1983,1991-12-04,19.54,19.54,19.54,19.54
1985,1991-12-05,20.19,20.19,20.19,20.19
1987,1991-12-06,19.04,19.04,19.04,19.04
1989,1991-12-09,19.74,19.74,19.74,19.74
1991,1991-12-10,19.89,19.89,19.89,19.89
1993,1991-12-11,20.57,20.57,20.57,20.57
1995,1991-12-12,19.08,19.08,19.08,19.08
1997,1991-12-13,17.88,17.88,17.88,17.88
1999,1991-12-16,17.62,17.62,17.62,17.62
2001,1991-12-17,18.12,18.12,18.12,18.12
2003,1991-12-18,17.78,17.78,17.78,17.78
2005,1991-12-19,17.96,17.96,17.96,17.96
2007,1991-12-20,17.65,17.65,17.65,17.65
2009,1991-12-23,16.61,16.61,16.61,16.61
2011,1991-12-24,15.67,15.67,15.67,15.67
2013,1991-12-26,15.44,15.44,15.44,15.44
2015,1991-12-27,15.7,15.7,15.7,15.7
2017,1991-12-30,17.63,17.63,17.63,17.63
2019,1991-12-31,19.31,19.31,19.31,19.31
2020,1992-01-02,18.95,19.69,20.15,18.88
2021,1992-01-02,18.95,19.69,20.15,18.88
2022,1992-01-03,18.75,17.04,19.23,17.04
2023,1992-01-03,18.75,17.04,19.23,17.04
2024,1992-01-06,18.96,16.23,19.49,16.08
2025,1992-01-06,18.96,16.23,19.49,16.08
2026,1992-01-07,19.23,20.3,20.3,19.12
2027,1992-01-07,19.23,20.3,20.3,19.12
2028,1992-01-08,18.72,17.53,19.27,17.3
2029,1992-01-08,18.72,17.53,19.27,17.3
2030,1992-01-09,18.96,17.58,19.41,17.58
2031,1992-01-09,18.96,17.58,19.41,17.58
2032,1992-01-10,18.45,18.5,18.89,18.3
2033,1992-01-10,18.45,18.5,18.89,18.3
2034,1992-01-13,18.01,19.05,19.05,18.01
2035,1992-01-13,18.01,19.05,19.05,18.01
2036,1992-01-14,17.01,17.73,17.73,16.16
2037,1992-01-14,17.01,17.73,17.73,16.16
2038,1992-01-15,17.39,17.81,17.91,17.31
2039,1992-01-15,17.39,17.81,17.91,17.31
2040,1992-01-16,17.64,18.43,18.43,17.42
2041,1992-01-16,17.64,18.43,18.43,17.42
2042,1992-01-17,16.32,16.59,16.77,16.01
2043,1992-01-17,16.32,16.59,16.77,16.01
2044,1992-01-20,16.42,16.57,16.72,16.24
2045,1992-01-20,16.42,16.57,16.72,16.24
2046,1992-01-21,17.92,16.74,18.19,16.6
2047,1992-01-21,17.92,16.74,18.19,16.6
2048,1992-01-22,16.75,17.54,17.58,16.72
2049,1992-01-22,16.75,17.54,17.58,16.72
2050,1992-01-23,16.46,15.48,16.73,15.4
2051,1992-01-23,16.46,15.48,16.73,15.4
